code,digit_2,digit_3,digit_4,type_of_facility,type_of_care,center_digits,freq_of_bill
093I,9,3,I,Reserved for National Assignment,Outpatient,93,FI Adjustment Claim (Other than QIO or Provider)
014I,1,4,I,Hospital,Other (Part B),14,FI Adjustment Claim (Other than QIO or Provider)
024I,2,4,I,Skilled Nursing Facility (SNF),Other (Part B),24,FI Adjustment Claim (Other than QIO or Provider)
034I,3,4,I,Home Health,Other (Part B),34,FI Adjustment Claim (Other than QIO or Provider)
044I,4,4,I,Religious Nonmedical (Hospital),Other (Part B),44,FI Adjustment Claim (Other than QIO or Provider)
054I,5,4,I,Religious Nonmedical (Extended Care),Other (Part B),54,FI Adjustment Claim (Other than QIO or Provider)
064I,6,4,I,Intermediate Care,Other (Part B),64,FI Adjustment Claim (Other than QIO or Provider)
074I,7,4,I,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,FI Adjustment Claim (Other than QIO or Provider)
084I,8,4,I,Special facility or hospital,Free Standing Birthing Center,84,FI Adjustment Claim (Other than QIO or Provider)
094I,9,4,I,Reserved for National Assignment,Other (Part B),94,FI Adjustment Claim (Other than QIO or Provider)
015I,1,5,I,Hospital,Intermediate Care - Level I,15,FI Adjustment Claim (Other than QIO or Provider)
025I,2,5,I,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,FI Adjustment Claim (Other than QIO or Provider)
035I,3,5,I,Home Health,Intermediate Care - Level I,35,FI Adjustment Claim (Other than QIO or Provider)
045I,4,5,I,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,FI Adjustment Claim (Other than QIO or Provider)
055I,5,5,I,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,FI Adjustment Claim (Other than QIO or Provider)
065I,6,5,I,Intermediate Care,Intermediate Care - Level I,65,FI Adjustment Claim (Other than QIO or Provider)
075I,7,5,I,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,FI Adjustment Claim (Other than QIO or Provider)
085I,8,5,I,Special facility or hospital,Critical Access Hospital (CAH),85,FI Adjustment Claim (Other than QIO or Provider)
095I,9,5,I,Reserved for National Assignment,Intermediate Care - Level I,95,FI Adjustment Claim (Other than QIO or Provider)
016I,1,6,I,Hospital,Intermediate Care - Level II,16,FI Adjustment Claim (Other than QIO or Provider)
026I,2,6,I,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,FI Adjustment Claim (Other than QIO or Provider)
036I,3,6,I,Home Health,Intermediate Care - Level II,36,FI Adjustment Claim (Other than QIO or Provider)
046I,4,6,I,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,FI Adjustment Claim (Other than QIO or Provider)
056I,5,6,I,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,FI Adjustment Claim (Other than QIO or Provider)
066I,6,6,I,Intermediate Care,Intermediate Care - Level II,66,FI Adjustment Claim (Other than QIO or Provider)
076I,7,6,I,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,FI Adjustment Claim (Other than QIO or Provider)
086I,8,6,I,Special facility or hospital,Residential Facility,86,FI Adjustment Claim (Other than QIO or Provider)
096I,9,6,I,Reserved for National Assignment,Intermediate Care - Level II,96,FI Adjustment Claim (Other than QIO or Provider)
017I,1,7,I,Hospital,Subacute Inpatient,17,FI Adjustment Claim (Other than QIO or Provider)
027I,2,7,I,Skilled Nursing Facility (SNF),Subacute Inpatient,27,FI Adjustment Claim (Other than QIO or Provider)
037I,3,7,I,Home Health,Subacute Inpatient,37,FI Adjustment Claim (Other than QIO or Provider)
047I,4,7,I,Religious Nonmedical (Hospital),Subacute Inpatient,47,FI Adjustment Claim (Other than QIO or Provider)
057I,5,7,I,Religious Nonmedical (Extended Care),Subacute Inpatient,57,FI Adjustment Claim (Other than QIO or Provider)
067I,6,7,I,Intermediate Care,Subacute Inpatient,67,FI Adjustment Claim (Other than QIO or Provider)
077I,7,7,I,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,FI Adjustment Claim (Other than QIO or Provider)
087I,8,7,I,Special facility or hospital,Reserved for National Assignment,87,FI Adjustment Claim (Other than QIO or Provider)
097I,9,7,I,Reserved for National Assignment,Subacute Inpatient,97,FI Adjustment Claim (Other than QIO or Provider)
018I,1,8,I,Hospital,Reserved for National Assignment,18,FI Adjustment Claim (Other than QIO or Provider)
028I,2,8,I,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,FI Adjustment Claim (Other than QIO or Provider)
038I,3,8,I,Home Health,Reserved for National Assignment,38,FI Adjustment Claim (Other than QIO or Provider)
048I,4,8,I,Religious Nonmedical (Hospital),Reserved for National Assignment,48,FI Adjustment Claim (Other than QIO or Provider)
058I,5,8,I,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,FI Adjustment Claim (Other than QIO or Provider)
068I,6,8,I,Intermediate Care,Reserved for National Assignment,68,FI Adjustment Claim (Other than QIO or Provider)
078I,7,8,I,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,FI Adjustment Claim (Other than QIO or Provider)
088I,8,8,I,Special facility or hospital,Reserved for National Assignment,88,FI Adjustment Claim (Other than QIO or Provider)
098I,9,8,I,Reserved for National Assignment,Reserved for National Assignment,98,FI Adjustment Claim (Other than QIO or Provider)
019I,1,9,I,Hospital,Reserved for National Assignment,19,FI Adjustment Claim (Other than QIO or Provider)
029I,2,9,I,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,FI Adjustment Claim (Other than QIO or Provider)
039I,3,9,I,Home Health,Reserved for National Assignment,39,FI Adjustment Claim (Other than QIO or Provider)
049I,4,9,I,Religious Nonmedical (Hospital),Reserved for National Assignment,49,FI Adjustment Claim (Other than QIO or Provider)
059I,5,9,I,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,FI Adjustment Claim (Other than QIO or Provider)
069I,6,9,I,Intermediate Care,Reserved for National Assignment,69,FI Adjustment Claim (Other than QIO or Provider)
079I,7,9,I,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,FI Adjustment Claim (Other than QIO or Provider)
089I,8,9,I,Special facility or hospital,Other,89,FI Adjustment Claim (Other than QIO or Provider)
099I,9,9,I,Reserved for National Assignment,Reserved for National Assignment,99,FI Adjustment Claim (Other than QIO or Provider)
011J,1,1,J,Hospital,Inpatient (Part A),11,Initiated Adjustment Claim/Other
021J,2,1,J,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Initiated Adjustment Claim/Other
031J,3,1,J,Home Health,Inpatient (Part A),31,Initiated Adjustment Claim/Other
041J,4,1,J,Religious Nonmedical (Hospital),Inpatient (Part A),41,Initiated Adjustment Claim/Other
051J,5,1,J,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Initiated Adjustment Claim/Other
061J,6,1,J,Intermediate Care,Inpatient (Part A),61,Initiated Adjustment Claim/Other
071J,7,1,J,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Initiated Adjustment Claim/Other
081J,8,1,J,Special facility or hospital,Hospice (non-hospital based),81,Initiated Adjustment Claim/Other
091J,9,1,J,Reserved for National Assignment,Inpatient (Part A),91,Initiated Adjustment Claim/Other
012J,1,2,J,Hospital,Inpatient (Part B),12,Initiated Adjustment Claim/Other
022J,2,2,J,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Initiated Adjustment Claim/Other
032J,3,2,J,Home Health,Inpatient (Part B),32,Initiated Adjustment Claim/Other
042J,4,2,J,Religious Nonmedical (Hospital),Inpatient (Part B),42,Initiated Adjustment Claim/Other
052J,5,2,J,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Initiated Adjustment Claim/Other
062J,6,2,J,Intermediate Care,Inpatient (Part B),62,Initiated Adjustment Claim/Other
072J,7,2,J,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Initiated Adjustment Claim/Other
082J,8,2,J,Special facility or hospital,Hospice (hospital based),82,Initiated Adjustment Claim/Other
092J,9,2,J,Reserved for National Assignment,Inpatient (Part B),92,Initiated Adjustment Claim/Other
013J,1,3,J,Hospital,Outpatient,13,Initiated Adjustment Claim/Other
023J,2,3,J,Skilled Nursing Facility (SNF),Outpatient,23,Initiated Adjustment Claim/Other
033J,3,3,J,Home Health,Outpatient,33,Initiated Adjustment Claim/Other
043J,4,3,J,Religious Nonmedical (Hospital),Outpatient,43,Initiated Adjustment Claim/Other
053J,5,3,J,Religious Nonmedical (Extended Care),Outpatient,53,Initiated Adjustment Claim/Other
063J,6,3,J,Intermediate Care,Outpatient,63,Initiated Adjustment Claim/Other
073J,7,3,J,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Initiated Adjustment Claim/Other
083J,8,3,J,Special facility or hospital,ASC Services to Hospital Outpatients,83,Initiated Adjustment Claim/Other
093J,9,3,J,Reserved for National Assignment,Outpatient,93,Initiated Adjustment Claim/Other
014J,1,4,J,Hospital,Other (Part B),14,Initiated Adjustment Claim/Other
024J,2,4,J,Skilled Nursing Facility (SNF),Other (Part B),24,Initiated Adjustment Claim/Other
034J,3,4,J,Home Health,Other (Part B),34,Initiated Adjustment Claim/Other
044J,4,4,J,Religious Nonmedical (Hospital),Other (Part B),44,Initiated Adjustment Claim/Other
054J,5,4,J,Religious Nonmedical (Extended Care),Other (Part B),54,Initiated Adjustment Claim/Other
064J,6,4,J,Intermediate Care,Other (Part B),64,Initiated Adjustment Claim/Other
074J,7,4,J,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Initiated Adjustment Claim/Other
084J,8,4,J,Special facility or hospital,Free Standing Birthing Center,84,Initiated Adjustment Claim/Other
094J,9,4,J,Reserved for National Assignment,Other (Part B),94,Initiated Adjustment Claim/Other
015J,1,5,J,Hospital,Intermediate Care - Level I,15,Initiated Adjustment Claim/Other
025J,2,5,J,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Initiated Adjustment Claim/Other
035J,3,5,J,Home Health,Intermediate Care - Level I,35,Initiated Adjustment Claim/Other
045J,4,5,J,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Initiated Adjustment Claim/Other
055J,5,5,J,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Initiated Adjustment Claim/Other
065J,6,5,J,Intermediate Care,Intermediate Care - Level I,65,Initiated Adjustment Claim/Other
075J,7,5,J,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Initiated Adjustment Claim/Other
085J,8,5,J,Special facility or hospital,Critical Access Hospital (CAH),85,Initiated Adjustment Claim/Other
095J,9,5,J,Reserved for National Assignment,Intermediate Care - Level I,95,Initiated Adjustment Claim/Other
016J,1,6,J,Hospital,Intermediate Care - Level II,16,Initiated Adjustment Claim/Other
026J,2,6,J,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Initiated Adjustment Claim/Other
036J,3,6,J,Home Health,Intermediate Care - Level II,36,Initiated Adjustment Claim/Other
046J,4,6,J,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Initiated Adjustment Claim/Other
056J,5,6,J,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Initiated Adjustment Claim/Other
066J,6,6,J,Intermediate Care,Intermediate Care - Level II,66,Initiated Adjustment Claim/Other
076J,7,6,J,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Initiated Adjustment Claim/Other
086J,8,6,J,Special facility or hospital,Residential Facility,86,Initiated Adjustment Claim/Other
096J,9,6,J,Reserved for National Assignment,Intermediate Care - Level II,96,Initiated Adjustment Claim/Other
017J,1,7,J,Hospital,Subacute Inpatient,17,Initiated Adjustment Claim/Other
027J,2,7,J,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Initiated Adjustment Claim/Other
037J,3,7,J,Home Health,Subacute Inpatient,37,Initiated Adjustment Claim/Other
047J,4,7,J,Religious Nonmedical (Hospital),Subacute Inpatient,47,Initiated Adjustment Claim/Other
057J,5,7,J,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Initiated Adjustment Claim/Other
067J,6,7,J,Intermediate Care,Subacute Inpatient,67,Initiated Adjustment Claim/Other
077J,7,7,J,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Initiated Adjustment Claim/Other
087J,8,7,J,Special facility or hospital,Reserved for National Assignment,87,Initiated Adjustment Claim/Other
097J,9,7,J,Reserved for National Assignment,Subacute Inpatient,97,Initiated Adjustment Claim/Other
018J,1,8,J,Hospital,Reserved for National Assignment,18,Initiated Adjustment Claim/Other
028J,2,8,J,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Initiated Adjustment Claim/Other
038J,3,8,J,Home Health,Reserved for National Assignment,38,Initiated Adjustment Claim/Other
048J,4,8,J,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Initiated Adjustment Claim/Other
058J,5,8,J,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Initiated Adjustment Claim/Other
068J,6,8,J,Intermediate Care,Reserved for National Assignment,68,Initiated Adjustment Claim/Other
078J,7,8,J,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Initiated Adjustment Claim/Other
088J,8,8,J,Special facility or hospital,Reserved for National Assignment,88,Initiated Adjustment Claim/Other
098J,9,8,J,Reserved for National Assignment,Reserved for National Assignment,98,Initiated Adjustment Claim/Other
019J,1,9,J,Hospital,Reserved for National Assignment,19,Initiated Adjustment Claim/Other
029J,2,9,J,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Initiated Adjustment Claim/Other
039J,3,9,J,Home Health,Reserved for National Assignment,39,Initiated Adjustment Claim/Other
049J,4,9,J,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Initiated Adjustment Claim/Other
059J,5,9,J,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Initiated Adjustment Claim/Other
069J,6,9,J,Intermediate Care,Reserved for National Assignment,69,Initiated Adjustment Claim/Other
079J,7,9,J,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Initiated Adjustment Claim/Other
089J,8,9,J,Special facility or hospital,Other,89,Initiated Adjustment Claim/Other
099J,9,9,J,Reserved for National Assignment,Reserved for National Assignment,99,Initiated Adjustment Claim/Other
011K,1,1,K,Hospital,Inpatient (Part A),11,OIG Initiated Adjustment Claim
021K,2,1,K,Skilled Nursing Facility (SNF),Inpatient (Part A),21,OIG Initiated Adjustment Claim
031K,3,1,K,Home Health,Inpatient (Part A),31,OIG Initiated Adjustment Claim
041K,4,1,K,Religious Nonmedical (Hospital),Inpatient (Part A),41,OIG Initiated Adjustment Claim
051K,5,1,K,Religious Nonmedical (Extended Care),Inpatient (Part A),51,OIG Initiated Adjustment Claim
061K,6,1,K,Intermediate Care,Inpatient (Part A),61,OIG Initiated Adjustment Claim
071K,7,1,K,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,OIG Initiated Adjustment Claim
081K,8,1,K,Special facility or hospital,Hospice (non-hospital based),81,OIG Initiated Adjustment Claim
091K,9,1,K,Reserved for National Assignment,Inpatient (Part A),91,OIG Initiated Adjustment Claim
012K,1,2,K,Hospital,Inpatient (Part B),12,OIG Initiated Adjustment Claim
022K,2,2,K,Skilled Nursing Facility (SNF),Inpatient (Part B),22,OIG Initiated Adjustment Claim
032K,3,2,K,Home Health,Inpatient (Part B),32,OIG Initiated Adjustment Claim
042K,4,2,K,Religious Nonmedical (Hospital),Inpatient (Part B),42,OIG Initiated Adjustment Claim
052K,5,2,K,Religious Nonmedical (Extended Care),Inpatient (Part B),52,OIG Initiated Adjustment Claim
062K,6,2,K,Intermediate Care,Inpatient (Part B),62,OIG Initiated Adjustment Claim
072K,7,2,K,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,OIG Initiated Adjustment Claim
082K,8,2,K,Special facility or hospital,Hospice (hospital based),82,OIG Initiated Adjustment Claim
092K,9,2,K,Reserved for National Assignment,Inpatient (Part B),92,OIG Initiated Adjustment Claim
013K,1,3,K,Hospital,Outpatient,13,OIG Initiated Adjustment Claim
023K,2,3,K,Skilled Nursing Facility (SNF),Outpatient,23,OIG Initiated Adjustment Claim
033K,3,3,K,Home Health,Outpatient,33,OIG Initiated Adjustment Claim
043K,4,3,K,Religious Nonmedical (Hospital),Outpatient,43,OIG Initiated Adjustment Claim
053K,5,3,K,Religious Nonmedical (Extended Care),Outpatient,53,OIG Initiated Adjustment Claim
063K,6,3,K,Intermediate Care,Outpatient,63,OIG Initiated Adjustment Claim
073K,7,3,K,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,OIG Initiated Adjustment Claim
083K,8,3,K,Special facility or hospital,ASC Services to Hospital Outpatients,83,OIG Initiated Adjustment Claim
093K,9,3,K,Reserved for National Assignment,Outpatient,93,OIG Initiated Adjustment Claim
014K,1,4,K,Hospital,Other (Part B),14,OIG Initiated Adjustment Claim
024K,2,4,K,Skilled Nursing Facility (SNF),Other (Part B),24,OIG Initiated Adjustment Claim
034K,3,4,K,Home Health,Other (Part B),34,OIG Initiated Adjustment Claim
044K,4,4,K,Religious Nonmedical (Hospital),Other (Part B),44,OIG Initiated Adjustment Claim
054K,5,4,K,Religious Nonmedical (Extended Care),Other (Part B),54,OIG Initiated Adjustment Claim
064K,6,4,K,Intermediate Care,Other (Part B),64,OIG Initiated Adjustment Claim
074K,7,4,K,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,OIG Initiated Adjustment Claim
084K,8,4,K,Special facility or hospital,Free Standing Birthing Center,84,OIG Initiated Adjustment Claim
094K,9,4,K,Reserved for National Assignment,Other (Part B),94,OIG Initiated Adjustment Claim
015K,1,5,K,Hospital,Intermediate Care - Level I,15,OIG Initiated Adjustment Claim
025K,2,5,K,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,OIG Initiated Adjustment Claim
035K,3,5,K,Home Health,Intermediate Care - Level I,35,OIG Initiated Adjustment Claim
045K,4,5,K,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,OIG Initiated Adjustment Claim
055K,5,5,K,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,OIG Initiated Adjustment Claim
065K,6,5,K,Intermediate Care,Intermediate Care - Level I,65,OIG Initiated Adjustment Claim
075K,7,5,K,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,OIG Initiated Adjustment Claim
085K,8,5,K,Special facility or hospital,Critical Access Hospital (CAH),85,OIG Initiated Adjustment Claim
095K,9,5,K,Reserved for National Assignment,Intermediate Care - Level I,95,OIG Initiated Adjustment Claim
016K,1,6,K,Hospital,Intermediate Care - Level II,16,OIG Initiated Adjustment Claim
026K,2,6,K,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,OIG Initiated Adjustment Claim
036K,3,6,K,Home Health,Intermediate Care - Level II,36,OIG Initiated Adjustment Claim
046K,4,6,K,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,OIG Initiated Adjustment Claim
056K,5,6,K,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,OIG Initiated Adjustment Claim
066K,6,6,K,Intermediate Care,Intermediate Care - Level II,66,OIG Initiated Adjustment Claim
076K,7,6,K,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,OIG Initiated Adjustment Claim
086K,8,6,K,Special facility or hospital,Residential Facility,86,OIG Initiated Adjustment Claim
096K,9,6,K,Reserved for National Assignment,Intermediate Care - Level II,96,OIG Initiated Adjustment Claim
017K,1,7,K,Hospital,Subacute Inpatient,17,OIG Initiated Adjustment Claim
027K,2,7,K,Skilled Nursing Facility (SNF),Subacute Inpatient,27,OIG Initiated Adjustment Claim
037K,3,7,K,Home Health,Subacute Inpatient,37,OIG Initiated Adjustment Claim
047K,4,7,K,Religious Nonmedical (Hospital),Subacute Inpatient,47,OIG Initiated Adjustment Claim
057K,5,7,K,Religious Nonmedical (Extended Care),Subacute Inpatient,57,OIG Initiated Adjustment Claim
067K,6,7,K,Intermediate Care,Subacute Inpatient,67,OIG Initiated Adjustment Claim
077K,7,7,K,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,OIG Initiated Adjustment Claim
087K,8,7,K,Special facility or hospital,Reserved for National Assignment,87,OIG Initiated Adjustment Claim
097K,9,7,K,Reserved for National Assignment,Subacute Inpatient,97,OIG Initiated Adjustment Claim
018K,1,8,K,Hospital,Reserved for National Assignment,18,OIG Initiated Adjustment Claim
028K,2,8,K,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,OIG Initiated Adjustment Claim
038K,3,8,K,Home Health,Reserved for National Assignment,38,OIG Initiated Adjustment Claim
048K,4,8,K,Religious Nonmedical (Hospital),Reserved for National Assignment,48,OIG Initiated Adjustment Claim
058K,5,8,K,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,OIG Initiated Adjustment Claim
068K,6,8,K,Intermediate Care,Reserved for National Assignment,68,OIG Initiated Adjustment Claim
078K,7,8,K,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,OIG Initiated Adjustment Claim
088K,8,8,K,Special facility or hospital,Reserved for National Assignment,88,OIG Initiated Adjustment Claim
098K,9,8,K,Reserved for National Assignment,Reserved for National Assignment,98,OIG Initiated Adjustment Claim
019K,1,9,K,Hospital,Reserved for National Assignment,19,OIG Initiated Adjustment Claim
029K,2,9,K,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,OIG Initiated Adjustment Claim
039K,3,9,K,Home Health,Reserved for National Assignment,39,OIG Initiated Adjustment Claim
049K,4,9,K,Religious Nonmedical (Hospital),Reserved for National Assignment,49,OIG Initiated Adjustment Claim
059K,5,9,K,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,OIG Initiated Adjustment Claim
069K,6,9,K,Intermediate Care,Reserved for National Assignment,69,OIG Initiated Adjustment Claim
079K,7,9,K,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,OIG Initiated Adjustment Claim
089K,8,9,K,Special facility or hospital,Other,89,OIG Initiated Adjustment Claim
099K,9,9,K,Reserved for National Assignment,Reserved for National Assignment,99,OIG Initiated Adjustment Claim
011M,1,1,M,Hospital,Inpatient (Part A),11,MSP Initiated Adjustment Claim
021M,2,1,M,Skilled Nursing Facility (SNF),Inpatient (Part A),21,MSP Initiated Adjustment Claim
031M,3,1,M,Home Health,Inpatient (Part A),31,MSP Initiated Adjustment Claim
041M,4,1,M,Religious Nonmedical (Hospital),Inpatient (Part A),41,MSP Initiated Adjustment Claim
051M,5,1,M,Religious Nonmedical (Extended Care),Inpatient (Part A),51,MSP Initiated Adjustment Claim
061M,6,1,M,Intermediate Care,Inpatient (Part A),61,MSP Initiated Adjustment Claim
071M,7,1,M,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,MSP Initiated Adjustment Claim
081M,8,1,M,Special facility or hospital,Hospice (non-hospital based),81,MSP Initiated Adjustment Claim
091M,9,1,M,Reserved for National Assignment,Inpatient (Part A),91,MSP Initiated Adjustment Claim
012M,1,2,M,Hospital,Inpatient (Part B),12,MSP Initiated Adjustment Claim
022M,2,2,M,Skilled Nursing Facility (SNF),Inpatient (Part B),22,MSP Initiated Adjustment Claim
032M,3,2,M,Home Health,Inpatient (Part B),32,MSP Initiated Adjustment Claim
042M,4,2,M,Religious Nonmedical (Hospital),Inpatient (Part B),42,MSP Initiated Adjustment Claim
052M,5,2,M,Religious Nonmedical (Extended Care),Inpatient (Part B),52,MSP Initiated Adjustment Claim
062M,6,2,M,Intermediate Care,Inpatient (Part B),62,MSP Initiated Adjustment Claim
072M,7,2,M,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,MSP Initiated Adjustment Claim
082M,8,2,M,Special facility or hospital,Hospice (hospital based),82,MSP Initiated Adjustment Claim
092M,9,2,M,Reserved for National Assignment,Inpatient (Part B),92,MSP Initiated Adjustment Claim
013M,1,3,M,Hospital,Outpatient,13,MSP Initiated Adjustment Claim
023M,2,3,M,Skilled Nursing Facility (SNF),Outpatient,23,MSP Initiated Adjustment Claim
033M,3,3,M,Home Health,Outpatient,33,MSP Initiated Adjustment Claim
043M,4,3,M,Religious Nonmedical (Hospital),Outpatient,43,MSP Initiated Adjustment Claim
053M,5,3,M,Religious Nonmedical (Extended Care),Outpatient,53,MSP Initiated Adjustment Claim
063M,6,3,M,Intermediate Care,Outpatient,63,MSP Initiated Adjustment Claim
073M,7,3,M,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,MSP Initiated Adjustment Claim
083M,8,3,M,Special facility or hospital,ASC Services to Hospital Outpatients,83,MSP Initiated Adjustment Claim
093M,9,3,M,Reserved for National Assignment,Outpatient,93,MSP Initiated Adjustment Claim
014M,1,4,M,Hospital,Other (Part B),14,MSP Initiated Adjustment Claim
024M,2,4,M,Skilled Nursing Facility (SNF),Other (Part B),24,MSP Initiated Adjustment Claim
034M,3,4,M,Home Health,Other (Part B),34,MSP Initiated Adjustment Claim
044M,4,4,M,Religious Nonmedical (Hospital),Other (Part B),44,MSP Initiated Adjustment Claim
054M,5,4,M,Religious Nonmedical (Extended Care),Other (Part B),54,MSP Initiated Adjustment Claim
064M,6,4,M,Intermediate Care,Other (Part B),64,MSP Initiated Adjustment Claim
074M,7,4,M,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,MSP Initiated Adjustment Claim
084M,8,4,M,Special facility or hospital,Free Standing Birthing Center,84,MSP Initiated Adjustment Claim
094M,9,4,M,Reserved for National Assignment,Other (Part B),94,MSP Initiated Adjustment Claim
015M,1,5,M,Hospital,Intermediate Care - Level I,15,MSP Initiated Adjustment Claim
025M,2,5,M,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,MSP Initiated Adjustment Claim
035M,3,5,M,Home Health,Intermediate Care - Level I,35,MSP Initiated Adjustment Claim
045M,4,5,M,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,MSP Initiated Adjustment Claim
055M,5,5,M,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,MSP Initiated Adjustment Claim
065M,6,5,M,Intermediate Care,Intermediate Care - Level I,65,MSP Initiated Adjustment Claim
075M,7,5,M,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,MSP Initiated Adjustment Claim
085M,8,5,M,Special facility or hospital,Critical Access Hospital (CAH),85,MSP Initiated Adjustment Claim
095M,9,5,M,Reserved for National Assignment,Intermediate Care - Level I,95,MSP Initiated Adjustment Claim
016M,1,6,M,Hospital,Intermediate Care - Level II,16,MSP Initiated Adjustment Claim
026M,2,6,M,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,MSP Initiated Adjustment Claim
036M,3,6,M,Home Health,Intermediate Care - Level II,36,MSP Initiated Adjustment Claim
046M,4,6,M,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,MSP Initiated Adjustment Claim
056M,5,6,M,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,MSP Initiated Adjustment Claim
066M,6,6,M,Intermediate Care,Intermediate Care - Level II,66,MSP Initiated Adjustment Claim
076M,7,6,M,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,MSP Initiated Adjustment Claim
